"","Year_Month","Country","Trade.Value"
"658",202002,"Mexico",774401984
"659",202002,"Mexico",32557647
"660",202002,"Mexico",32557647
"661",202002,"Mexico",231486
"662",202002,"Mexico",143222
"663",202002,"Mexico",59340
"664",202002,"Mexico",59340
"665",202002,"Mexico",46115
"666",202002,"Mexico",2046
"667",202002,"Mexico",44069
"668",202002,"Mexico",44069
"669",202002,"Mexico",88688
"670",202002,"Mexico",3
"671",202002,"Mexico",3
"672",202002,"Mexico",5651
"673",202002,"Mexico",83037
"674",202002,"Mexico",83037
"675",202002,"Mexico",19755359
"676",202002,"Mexico",672244
"677",202002,"Mexico",14806686
"678",202002,"Mexico",4276429
"679",202002,"Mexico",4276429
"680",202001,"Mexico",194150709
"681",202001,"Mexico",6299
"682",202001,"Mexico",3259
"683",202001,"Mexico",3259
"684",202001,"Mexico",194141151
"685",202002,"Mexico",33723768207
"686",202002,"Mexico",2857899497
"687",202002,"Mexico",10266261283
"688",202002,"Mexico",17268709386
"689",202002,"Mexico",17268709386
"690",202002,"Mexico",2692435500
"691",202002,"Mexico",638462541
"692",202002,"Mexico",7560
"693",202002,"Mexico",7560
"694",202002,"Mexico",7560
"695",202002,"Mexico",13504
"696",202002,"Mexico",13504
"697",202002,"Mexico",13504
"698",202002,"Mexico",3486
"699",202002,"Mexico",3486
"700",202002,"Mexico",42048
"701",202002,"Mexico",4884
"702",202002,"Mexico",36640
"703",202002,"Mexico",524
"704",202002,"Mexico",524
"705",202002,"Mexico",3811
"706",202002,"Mexico",3811
"707",202002,"Mexico",18145948
"708",202002,"Mexico",4779656
"709",202002,"Mexico",13036034
"710",202002,"Mexico",330258
"711",202002,"Mexico",330258
"712",202002,"Mexico",5657273
"713",202002,"Mexico",2242893
"714",202002,"Mexico",2762152
"715",202002,"Mexico",652228
"716",202002,"Mexico",652228
"717",202002,"Mexico",112121695
"718",202002,"Mexico",10678043
"719",202002,"Mexico",93739115
"720",202002,"Mexico",7347779
"721",202002,"Mexico",7347779
"722",202002,"Mexico",356758
"723",202002,"Mexico",8665595
"724",202002,"Mexico",10
"725",202002,"Mexico",8664749
"726",202002,"Mexico",836
"727",202002,"Mexico",836
"728",202002,"Mexico",2385417
"729",202002,"Mexico",5087
"730",202002,"Mexico",1159710
"731",202002,"Mexico",1220620
"732",202002,"Mexico",1220620
"733",202002,"Mexico",8889188
"734",202002,"Mexico",448779
"735",202002,"Mexico",8349402
"736",202002,"Mexico",91007
"737",202002,"Mexico",91007
"738",202002,"Mexico",4846905
"739",202002,"Mexico",255902
"740",202002,"Mexico",448029
"741",202002,"Mexico",4142974
"742",202002,"Mexico",4142974
"743",202002,"Mexico",145000545
"744",202002,"Mexico",50380067
"745",202002,"Mexico",46727883
"746",202002,"Mexico",47892595
"747",202002,"Mexico",47892595
"748",202002,"Mexico",1753303
"749",202002,"Mexico",137484
"750",202002,"Mexico",1459893
"751",202002,"Mexico",155926
"752",202002,"Mexico",155926
"753",202002,"Mexico",774051
"754",202002,"Mexico",504597
"755",202002,"Mexico",269454
"756",202002,"Mexico",258354
"757",202002,"Mexico",72020
"758",202002,"Mexico",186194
"759",202002,"Mexico",140
"760",202002,"Mexico",140
"761",202002,"Mexico",159391214
"762",202002,"Mexico",18807208
"763",202002,"Mexico",139578360
"764",202002,"Mexico",997592
"765",202002,"Mexico",997592
"766",202002,"Mexico",8054
"767",202002,"Mexico",622918
"768",202002,"Mexico",26188
"769",202002,"Mexico",520295
"770",202002,"Mexico",76435
"771",202002,"Mexico",76435
"772",202002,"Mexico",11225
"773",202002,"Mexico",11225
"774",202002,"Mexico",3767722
"775",202002,"Mexico",368579
"776",202002,"Mexico",2394418
"777",202002,"Mexico",1004725
"778",202002,"Mexico",1004725
"779",202002,"Mexico",318495
"780",202002,"Mexico",6780
"781",202002,"Mexico",311715
"782",202002,"Mexico",16007
"783",202002,"Mexico",13586
"784",202002,"Mexico",2421
"785",202002,"Mexico",2421
"786",202002,"Mexico",557385
"787",202002,"Mexico",40464
"788",202002,"Mexico",516921
"789",202002,"Mexico",537134708
"790",202002,"Mexico",45203844
"791",202002,"Mexico",84384935
"792",202002,"Mexico",363894870
"793",202002,"Mexico",363894870
"794",202002,"Mexico",43633823
"795",202002,"Mexico",17236
"796",202002,"Mexico",1188339
"797",202002,"Mexico",176085
"798",202002,"Mexico",1009908
"799",202002,"Mexico",2346
"800",202002,"Mexico",2346
"801",202002,"Mexico",8020434
"802",202002,"Mexico",144386
"803",202002,"Mexico",7651340
"804",202002,"Mexico",224708
"805",202002,"Mexico",224708
"806",202002,"Mexico",111672970
"807",202002,"Mexico",13388961
"808",202002,"Mexico",97587103
"809",202002,"Mexico",696906
"810",202002,"Mexico",696906
"811",202002,"Mexico",1453585391
"812",202002,"Mexico",130717536
"813",202002,"Mexico",1246330489
"814",202002,"Mexico",73863726
"815",202002,"Mexico",73863726
"816",202002,"Mexico",430487
"817",202002,"Mexico",2243153
"818",202002,"Mexico",418
"819",202002,"Mexico",418
"820",202002,"Mexico",56956845
"821",202002,"Mexico",11189944
"822",202002,"Mexico",43489479
"823",202002,"Mexico",418866
"824",202002,"Mexico",418866
"825",202002,"Mexico",1858556
"826",202002,"Mexico",8209
"827",202002,"Mexico",8209
"828",202002,"Mexico",39930112
"829",202002,"Mexico",3562853
"830",202002,"Mexico",11187181
"831",202002,"Mexico",18254883
"832",202002,"Mexico",18254883
"833",202002,"Mexico",6925195
"834",202002,"Mexico",26776595
"835",202002,"Mexico",8144349
"836",202002,"Mexico",16674377
"837",202002,"Mexico",1957869
"838",202002,"Mexico",1957869
"839",202002,"Mexico",44315198
"840",202002,"Mexico",11196794
"841",202002,"Mexico",23235586
"842",202002,"Mexico",9833808
"843",202002,"Mexico",9833808
"844",202002,"Mexico",49010
"845",202001,"Mexico",90973992
"846",202002,"Mexico",2387757
"847",202002,"Mexico",238140
"848",202002,"Mexico",2122051
"849",202002,"Mexico",27566
"850",202002,"Mexico",27566
"851",202002,"Mexico",5292482
"852",202002,"Mexico",258085
"853",202002,"Mexico",5034397
"854",202002,"Mexico",14709548
"855",202002,"Mexico",148813
"856",202002,"Mexico",207469
"857",202002,"Mexico",14353266
"858",202002,"Mexico",14353266
"859",202002,"Mexico",2333
"860",202002,"Mexico",2333
"861",202002,"Mexico",23467
"862",202002,"Mexico",23106
"863",202002,"Mexico",361
"864",202002,"Mexico",361
"865",202002,"Mexico",31598420
"866",202002,"Mexico",9368826
"867",202002,"Mexico",20095104
"868",202002,"Mexico",2134490
"869",202002,"Mexico",2134490
"870",202002,"Mexico",228131779
"871",202002,"Mexico",99672399
"872",202002,"Mexico",107729648
"873",202002,"Mexico",20727172
"874",202002,"Mexico",20727172
"875",202002,"Mexico",2560
"876",202002,"Mexico",747
"877",202002,"Mexico",747
"878",202002,"Mexico",35978
"879",202002,"Mexico",35978
"880",202002,"Mexico",186293
"881",202002,"Mexico",77891
"882",202002,"Mexico",18500
"883",202002,"Mexico",89902
"884",202002,"Mexico",89902
"885",202002,"Mexico",20217
"886",202002,"Mexico",20217
"887",202002,"Mexico",10277389
"888",202002,"Mexico",265537
"889",202002,"Mexico",9919366
"890",202002,"Mexico",92486
"891",202002,"Mexico",92486
"892",202002,"Mexico",26
"893",202002,"Mexico",26
"894",202002,"Mexico",38
"895",202002,"Mexico",38
"896",202002,"Mexico",25468047
"897",202002,"Mexico",655866
"898",202002,"Mexico",2244525
